	x	MATLAB_y	Verilog_y	|MATLAB-x|	|Verilog-x|	|Verilog-MATLAB|
-0.4531250000	-0.3097205936	-0.6494140625	0.1434044064	0.1962890625	0.3396934689
-0.3857421875	-0.3145482734	-0.6503906250	0.0711939141	0.2646484375	0.3358423516
-0.3789062500	-0.3197175251	-0.6503906250	0.0591887249	0.2714843750	0.3306730999
-0.3427734375	-0.3251593465	-0.6503906250	0.0176140910	0.3076171875	0.3252312785
-0.4042968750	-0.3307960356	-0.6513671875	0.0735008394	0.2470703125	0.3205711519
-0.3906250000	-0.3365444251	-0.6513671875	0.0540805749	0.2607421875	0.3148227624
-0.4179687500	-0.3423192475	-0.6513671875	0.0756495025	0.2333984375	0.3090479400
-0.4277343750	-0.3480364164	-0.6523437500	0.0796979586	0.2246093750	0.3043073336
-0.4394531250	-0.3536160362	-0.6562500000	0.0858370888	0.2167968750	0.3026339638
-0.4384765625	-0.3589850107	-0.6621093750	0.0794915518	0.2236328125	0.3031243643
-0.4746093750	-0.3640791779	-0.6708984375	0.1105301971	0.1962890625	0.3068192596
-0.4287109375	-0.3688449531	-0.6796875000	0.0598659844	0.2509765625	0.3108425469
-0.6162109375	-0.3732404979	-0.6884765625	0.2429704396	0.0722656250	0.3152360646
-0.7207031250	-0.3772364628	-0.6972656250	0.3434666622	0.0234375000	0.3200291622
-0.6796875000	-0.3808163718	-0.7060546875	0.2988711282	0.0263671875	0.3252383157
-0.5644531250	-0.3839767587	-0.7148437500	0.1804763663	0.1503906250	0.3308669913
-0.5205078125	-0.3867272002	-0.7226562500	0.1337806123	0.2021484375	0.3359290498
-0.4736328125	-0.3890903872	-0.7294921875	0.0845424253	0.2558593750	0.3404018003
-0.4423828125	-0.3911023042	-0.7363281250	0.0512805083	0.2939453125	0.3452258208
-0.3974609375	-0.3928124469	-0.7421875000	0.0046484906	0.3447265625	0.3493750531
-0.4199218750	-0.3942838753	-0.7480468750	0.0256379997	0.3281250000	0.3537629997
-0.4707031250	-0.3955928074	-0.7519531250	0.0751103176	0.2812500000	0.3563603176
-0.5234375000	-0.3968274601	-0.7568359375	0.1266100399	0.2333984375	0.3600084774
-0.4931640625	-0.3980859103	-0.7597656250	0.0950781522	0.2666015625	0.3616797147
-0.4306640625	-0.3994728991	-0.7636718750	0.0311911634	0.3330078125	0.3641989759
-0.4150390625	-0.4010956631	-0.7656250000	0.0139433994	0.3505859375	0.3645293369
-0.4130859375	-0.4030590285	-0.7685546875	0.0100269090	0.3554687500	0.3654956590
-0.5380859375	-0.4054600862	-0.7695312500	0.1326258513	0.2314453125	0.3640711638
-0.4599609375	-0.4083827995	-0.7675781250	0.0515781380	0.3076171875	0.3591953255
-0.6455078125	-0.4118928907	-0.7626953125	0.2336149218	0.1171875000	0.3508024218
-0.7783203125	-0.4160333495	-0.7568359375	0.3622869630	0.0214843750	0.3408025880
-0.6220703125	-0.4208209060	-0.7490234375	0.2012494065	0.1269531250	0.3282025315
-0.5136718750	-0.4262438083	-0.7402343750	0.0874280667	0.2265625000	0.3139905667
-0.4619140625	-0.4322612060	-0.7324218750	0.0296528565	0.2705078125	0.3001606690
-0.2880859375	-0.4388043348	-0.7246093750	0.1507183973	0.4365234375	0.2858050402
-0.3349609375	-0.4457795010	-0.7158203125	0.1108185635	0.3808593750	0.2700408115
-0.2890625000	-0.4530726066	-0.7050781250	0.1640101066	0.4160156250	0.2520055184
-0.3134765625	-0.4605547343	-0.6914062500	0.1470781718	0.3779296875	0.2308515157
-0.3720703125	-0.4680881682	-0.6777343750	0.0960178557	0.3056640625	0.2096462068
-0.3378906250	-0.4755322265	-0.6630859375	0.1376416015	0.3251953125	0.1875537110
-0.3417968750	-0.4827483856	-0.6494140625	0.1409515106	0.3076171875	0.1666656769
-0.2968750000	-0.4896043638	-0.6357421875	0.1927293638	0.3388671875	0.1461378237
-0.2763671875	-0.4959770286	-0.6230468750	0.2196098411	0.3466796875	0.1270698464
-0.3662109375	-0.5017541669	-0.6113281250	0.1355432294	0.2451171875	0.1095739581
-0.3984375000	-0.5068352686	-0.6005859375	0.1083977686	0.2021484375	0.0937506689
-0.4111328125	-0.5111315521	-0.5908203125	0.0999987396	0.1796875000	0.0796887604
-0.3867187500	-0.5145654987	-0.5830078125	0.1278467487	0.1962890625	0.0684423138
-0.3691406250	-0.5170701931	-0.5781250000	0.1479295681	0.2089843750	0.0610548069
-0.3369140625	-0.5185887661	-0.5771484375	0.1816747036	0.2402343750	0.0585596714
-0.3759765625	-0.5190741828	-0.5791015625	0.1430976203	0.2031250000	0.0600273797
-0.4394531250	-0.5184895302	-0.5830078125	0.0790364052	0.1435546875	0.0645182823
-0.4980468750	-0.5168088445	-0.5869140625	0.0187619695	0.0888671875	0.0701052180
-0.4970703125	-0.5140184238	-0.5917968750	0.0169481113	0.0947265625	0.0777784512
-0.4599609375	-0.5101185158	-0.5976562500	0.0501575783	0.1376953125	0.0875377342
-0.4228515625	-0.5051252512	-0.6025390625	0.0822736887	0.1796875000	0.0974138113
-0.3974609375	-0.4990726818	-0.6074218750	0.1016117443	0.2099609375	0.1083491932
-0.3095703125	-0.4920147566	-0.6123046875	0.1824444441	0.3027343750	0.1202899309
-0.3017578125	-0.4840270239	-0.6162109375	0.1822692114	0.3144531250	0.1321839136
-0.3330078125	-0.4752077939	-0.6171875000	0.1421999814	0.2841796875	0.1419797061
-0.3105468750	-0.4656784698	-0.6142578125	0.1551315948	0.3037109375	0.1485793427
-0.3232421875	-0.4555827680	-0.6093750000	0.1323405805	0.2861328125	0.1537922320
-0.4560546875	-0.4450846236	-0.6044921875	0.0109700639	0.1484375000	0.1594075639
-0.2080078125	-0.4343646980	-0.5966796875	0.2263568855	0.3886718750	0.1623149895
-0.2285156250	-0.4236155593	-0.5869140625	0.1950999343	0.3583984375	0.1632985032
-0.1523437500	-0.4130357444	-0.5732421875	0.2606919944	0.4208984375	0.1602064431
-0.0888671875	-0.4028230025	-0.5595703125	0.3139558150	0.4707031250	0.1567473100
-0.1220703125	-0.3931670474	-0.5439453125	0.2710967349	0.4218750000	0.1507782651
-0.1171875000	-0.3842421229	-0.5283203125	0.2670546229	0.4111328125	0.1440781896
-0.0791015625	-0.3761996666	-0.5107421875	0.2970981041	0.4316406250	0.1345425209
-0.1289062500	-0.3691613482	-0.4902343750	0.2402550982	0.3613281250	0.1210730268
-0.2021484375	-0.3632127760	-0.4697265625	0.1610643385	0.2675781250	0.1065137865
-0.1455078125	-0.3583981920	-0.4492187500	0.2128903795	0.3037109375	0.0908205580
-0.1005859375	-0.3547164925	-0.4296875000	0.2541305550	0.3291015625	0.0749710075
-0.1259765625	-0.3521189066	-0.4111328125	0.2261423441	0.2851562500	0.0590139059
-0.0849609375	-0.3505086197	-0.3935546875	0.2655476822	0.3085937500	0.0430460678
-0.1572265625	-0.3497425258	-0.3779296875	0.1925159633	0.2207031250	0.0281871617
-0.1474609375	-0.3496351594	-0.3632812500	0.2021742219	0.2158203125	0.0136460906
-0.0751953125	-0.3499647063	-0.3505859375	0.2747693938	0.2753906250	0.0006212312
-0.0195312500	-0.3504808681	-0.3388671875	0.3309496181	0.3193359375	0.0116136806
-0.0507812500	-0.3509142440	-0.3281250000	0.3001329940	0.2773437500	0.0227892440
-0.0361328125	-0.3509867992	-0.3183593750	0.3148539867	0.2822265625	0.0326274242
0.0566406250	-0.3504229041	-0.3066406250	0.4070635291	0.3632812500	0.0437822791
0.0185546875	-0.3489603767	-0.2929687500	0.3675150642	0.3115234375	0.0559916267
0.0117187500	-0.3463609526	-0.2792968750	0.3580797026	0.2910156250	0.0670640776
0.0908203125	-0.3424196437	-0.2646484375	0.4332399562	0.3554687500	0.0777712062
0.0781250000	-0.3369725223	-0.2509765625	0.4150975223	0.3291015625	0.0859959598
-0.0273437500	-0.3299025755	-0.2382812500	0.3025588255	0.2109375000	0.0916213255
-0.0283203125	-0.3211434004	-0.2255859375	0.2928230879	0.1972656250	0.0955574629
0.0107421875	-0.3106806540	-0.2148437500	0.3214228415	0.2255859375	0.0958369040
0.0664062500	-0.2985513187	-0.2041015625	0.3649575687	0.2705078125	0.0944497562
0.0605468750	-0.2848409857	-0.1953125000	0.3453878607	0.2558593750	0.0895284857
0.0830078125	-0.2696794593	-0.1865234375	0.3526872718	0.2695312500	0.0831560218
0.0488281250	-0.2532350237	-0.1796875000	0.3020631487	0.2285156250	0.0735475237
0.0527343750	-0.2357077099	-0.1728515625	0.2884420849	0.2255859375	0.0628561474
0.1357421875	-0.2173218803	-0.1669921875	0.3530640678	0.3027343750	0.0503296928
0.0400390625	-0.1983184260	-0.1621093750	0.2383574885	0.2021484375	0.0362090510
0.1093750000	-0.1789468591	-0.1572265625	0.2883218591	0.2666015625	0.0217202966
0.0468750000	-0.1594575625	-0.1533203125	0.2063325625	0.2001953125	0.0061372500
0.0781250000	-0.1400944343	-0.1503906250	0.2182194343	0.2285156250	0.0102961907
0.1142578125	-0.1210881440	-0.1474609375	0.2353459565	0.2617187500	0.0263727935
0.1582031250	-0.1026501905	-0.1445312500	0.2608533155	0.3027343750	0.0418810595
-0.0068359375	-0.0849679175	-0.1425781250	0.0781319800	0.1357421875	0.0576102075
0.0068359375	-0.0682005982	-0.1406250000	0.0750365357	0.1474609375	0.0724244018
0.1318359375	-0.0524766493	-0.1396484375	0.1843125868	0.2714843750	0.0871717882
0.2480468750	-0.0378920058	-0.1376953125	0.2859388808	0.3857421875	0.0998033067
0.1484375000	-0.0245096578	-0.1367187500	0.1729471578	0.2851562500	0.1122090922
0.0712890625	-0.0123603034	-0.1357421875	0.0836493659	0.2070312500	0.1233818841
0.2177734375	-0.0014439922	-0.1347656250	0.2192174297	0.3525390625	0.1333216328
0.1494140625	0.0082674286	-0.1347656250	0.1411466339	0.2841796875	0.1430330536
0.0732421875	0.0168272793	-0.1337890625	0.0564149082	0.2070312500	0.1506163418
0.0449218750	0.0243106153	-0.1337890625	0.0206112597	0.1787109375	0.1580996778
0.1083984375	0.0308105498	-0.1328125000	0.0775878877	0.2412109375	0.1636230498
0.2089843750	0.0364344325	-0.1318359375	0.1725499425	0.3408203125	0.1682703700
0.2138671875	0.0412999419	-0.1279296875	0.1725672456	0.3417968750	0.1692296294
0.1962890625	0.0455311303	-0.1210937500	0.1507579322	0.3173828125	0.1666248803
0.1748046875	0.0492544954	-0.1132812500	0.1255501921	0.2880859375	0.1625357454
0.2451171875	0.0525952008	-0.1044921875	0.1925219867	0.3496093750	0.1570873883
0.1718750000	0.0556736046	-0.0947265625	0.1162013954	0.2666015625	0.1504001671
0.1748046875	0.0586022475	-0.0859375000	0.1162024400	0.2607421875	0.1445397475
0.1972656250	0.0614834155	-0.0771484375	0.1357822095	0.2744140625	0.1386318530
0.2138671875	0.0644073340	-0.0683593750	0.1494598535	0.2822265625	0.1327667090
0.2314453125	0.0674509970	-0.0605468750	0.1639943155	0.2919921875	0.1279978720
0.2558593750	0.0706775827	-0.0537109375	0.1851817923	0.3095703125	0.1243885202
0.2451171875	0.0741363886	-0.0468750000	0.1709807989	0.2919921875	0.1210113886
0.1562500000	0.0778632106	-0.0410156250	0.0783867894	0.1972656250	0.1188788356
0.1474609375	0.0818810992	-0.0351562500	0.0655798383	0.1826171875	0.1170373492
0.1113281250	0.0862014167	-0.0312500000	0.0251267083	0.1425781250	0.1174514167
0.1582031250	0.0908250985	-0.0263671875	0.0673780265	0.1845703125	0.1171922860
0.2167968750	0.0957439882	-0.0234375000	0.1210528868	0.2402343750	0.1191814882
0.2382812500	0.1009420993	-0.0195312500	0.1373391507	0.2578125000	0.1204733493
0.2822265625	0.1063966844	-0.0175781250	0.1758298781	0.2998046875	0.1239748094
0.3496093750	0.1120790595	-0.0146484375	0.2375303155	0.3642578125	0.1267274970
0.4296875000	0.1179552195	-0.0126953125	0.3117322805	0.4423828125	0.1306505320
0.3769531250	0.1239863723	-0.0107421875	0.2529667527	0.3876953125	0.1347285598
0.4521484375	0.1301295729	-0.0087890625	0.3220188646	0.4609375000	0.1389186354
0.5185546875	0.1363386639	-0.0078125000	0.3822160236	0.5263671875	0.1441511639
0.3652343750	0.1425657003	-0.0068359375	0.2226686747	0.3720703125	0.1494016378
0.0947265625	0.1487629660	-0.0058593750	0.0540364035	0.1005859375	0.1546223410
-0.0947265625	0.1548855766	-0.0048828125	0.2496121391	0.0898437500	0.1597683891
-0.0107421875	0.1608945011	-0.0039062500	0.1716366886	0.0068359375	0.1648007511
-0.0302734375	0.1667596332	-0.0039062500	0.1970330707	0.0263671875	0.1706658832
0.1220703125	0.1724623575	-0.0029296875	0.0503920450	0.1250000000	0.1753920450
0.2304687500	0.1779969960	-0.0029296875	0.0524717540	0.2333984375	0.1809266835
0.2275390625	0.1833706363	-0.0019531250	0.0441684262	0.2294921875	0.1853237613
