Time: 1485000 | Din(Binary): 0000011001110100 | Average(Binary): 0000011001110011 | Din(Decimal): 1652 | Average(Decimal): 1651
Time: 1495000 | Din(Binary): 0000011001110100 | Average(Binary): 0000011001110010 | Din(Decimal): 1652 | Average(Decimal): 1650
Time: 1505000 | Din(Binary): 0000011001110100 | Average(Binary): 0000011001110010 | Din(Decimal): 1652 | Average(Decimal): 1650
Time: 1515000 | Din(Binary): 0000011001110111 | Average(Binary): 0000011001110010 | Din(Decimal): 1655 | Average(Decimal): 1650
Time: 1525000 | Din(Binary): 0000011001110111 | Average(Binary): 0000011001110001 | Din(Decimal): 1655 | Average(Decimal): 1649
Time: 1535000 | Din(Binary): 0000011001110111 | Average(Binary): 0000011001110001 | Din(Decimal): 1655 | Average(Decimal): 1649
Time: 1545000 | Din(Binary): 0000011001110100 | Average(Binary): 0000011001110001 | Din(Decimal): 1652 | Average(Decimal): 1649
Time: 1555000 | Din(Binary): 0000011001110100 | Average(Binary): 0000011001110000 | Din(Decimal): 1652 | Average(Decimal): 1648
Time: 1565000 | Din(Binary): 0000011001110100 | Average(Binary): 0000011001110000 | Din(Decimal): 1652 | Average(Decimal): 1648
Time: 1575000 | Din(Binary): 0000011001110011 | Average(Binary): 0000011001110000 | Din(Decimal): 1651 | Average(Decimal): 1648
Time: 1585000 | Din(Binary): 0000011001110011 | Average(Binary): 0000011001101111 | Din(Decimal): 1651 | Average(Decimal): 1647
Time: 1595000 | Din(Binary): 0000011001110011 | Average(Binary): 0000011001101111 | Din(Decimal): 1651 | Average(Decimal): 1647
Time: 1605000 | Din(Binary): 0000011001110110 | Average(Binary): 0000011001101111 | Din(Decimal): 1654 | Average(Decimal): 1647
Time: 1615000 | Din(Binary): 0000011001110110 | Average(Binary): 0000011001101111 | Din(Decimal): 1654 | Average(Decimal): 1647
Time: 1625000 | Din(Binary): 0000011001110110 | Average(Binary): 0000011001101111 | Din(Decimal): 1654 | Average(Decimal): 1647
Time: 1635000 | Din(Binary): 0000011001110110 | Average(Binary): 0000011001101111 | Din(Decimal): 1654 | Average(Decimal): 1647
Time: 1645000 | Din(Binary): 0000011001110110 | Average(Binary): 0000011001101111 | Din(Decimal): 1654 | Average(Decimal): 1647
Time: 1655000 | Din(Binary): 0000011001110110 | Average(Binary): 0000011001101111 | Din(Decimal): 1654 | Average(Decimal): 1647
Time: 1665000 | Din(Binary): 0000011001101001 | Average(Binary): 0000011001101111 | Din(Decimal): 1641 | Average(Decimal): 1647
Time: 1675000 | Din(Binary): 0000011001101001 | Average(Binary): 0000011001110001 | Din(Decimal): 1641 | Average(Decimal): 1649
Time: 1685000 | Din(Binary): 0000011001101001 | Average(Binary): 0000011001110001 | Din(Decimal): 1641 | Average(Decimal): 1649
Time: 1695000 | Din(Binary): 0000011001101001 | Average(Binary): 0000011001110001 | Din(Decimal): 1641 | Average(Decimal): 1649
Time: 1705000 | Din(Binary): 0000011001101001 | Average(Binary): 0000011001110011 | Din(Decimal): 1641 | Average(Decimal): 1651
Time: 1715000 | Din(Binary): 0000011001101001 | Average(Binary): 0000011001110011 | Din(Decimal): 1641 | Average(Decimal): 1651
Time: 1725000 | Din(Binary): 0000011001101010 | Average(Binary): 0000011001110011 | Din(Decimal): 1642 | Average(Decimal): 1651
Time: 1735000 | Din(Binary): 0000011001101010 | Average(Binary): 0000011001110010 | Din(Decimal): 1642 | Average(Decimal): 1650
Time: 1745000 | Din(Binary): 0000011001101010 | Average(Binary): 0000011001110010 | Din(Decimal): 1642 | Average(Decimal): 1650
Time: 1755000 | Din(Binary): 0000011001101111 | Average(Binary): 0000011001110010 | Din(Decimal): 1647 | Average(Decimal): 1650
Time: 1765000 | Din(Binary): 0000011001101111 | Average(Binary): 0000011001110010 | Din(Decimal): 1647 | Average(Decimal): 1650
Time: 1775000 | Din(Binary): 0000011001101111 | Average(Binary): 0000011001110010 | Din(Decimal): 1647 | Average(Decimal): 1650
Time: 1785000 | Din(Binary): 0000011001110010 | Average(Binary): 0000011001110010 | Din(Decimal): 1650 | Average(Decimal): 1650
Time: 1795000 | Din(Binary): 0000011001110010 | Average(Binary): 0000011001110000 | Din(Decimal): 1650 | Average(Decimal): 1648
Time: 1805000 | Din(Binary): 0000011001110010 | Average(Binary): 0000011001110000 | Din(Decimal): 1650 | Average(Decimal): 1648
Time: 1815000 | Din(Binary): 0000011001110100 | Average(Binary): 0000011001110000 | Din(Decimal): 1652 | Average(Decimal): 1648
Time: 1825000 | Din(Binary): 0000011001110100 | Average(Binary): 0000011001101111 | Din(Decimal): 1652 | Average(Decimal): 1647
Time: 1835000 | Din(Binary): 0000011001110100 | Average(Binary): 0000011001101111 | Din(Decimal): 1652 | Average(Decimal): 1647
Time: 1845000 | Din(Binary): 0000011001110011 | Average(Binary): 0000011001101111 | Din(Decimal): 1651 | Average(Decimal): 1647
Time: 1855000 | Din(Binary): 0000011001110011 | Average(Binary): 0000011001101111 | Din(Decimal): 1651 | Average(Decimal): 1647
Time: 1865000 | Din(Binary): 0000011001110011 | Average(Binary): 0000011001101111 | Din(Decimal): 1651 | Average(Decimal): 1647
Time: 1875000 | Din(Binary): 0000011001110010 | Average(Binary): 0000011001101111 | Din(Decimal): 1650 | Average(Decimal): 1647
Time: 1885000 | Din(Binary): 0000011001110010 | Average(Binary): 0000011001101111 | Din(Decimal): 1650 | Average(Decimal): 1647
Time: 1895000 | Din(Binary): 0000011001110010 | Average(Binary): 0000011001101111 | Din(Decimal): 1650 | Average(Decimal): 1647
Time: 1905000 | Din(Binary): 0000011001110110 | Average(Binary): 0000011001101111 | Din(Decimal): 1654 | Average(Decimal): 1647
Time: 1915000 | Din(Binary): 0000011001110110 | Average(Binary): 0000011001101111 | Din(Decimal): 1654 | Average(Decimal): 1647
Time: 1925000 | Din(Binary): 0000011001110110 | Average(Binary): 0000011001101111 | Din(Decimal): 1654 | Average(Decimal): 1647
Time: 1935000 | Din(Binary): 0000011001110101 | Average(Binary): 0000011001101111 | Din(Decimal): 1653 | Average(Decimal): 1647
Time: 1945000 | Din(Binary): 0000011001110101 | Average(Binary): 0000011001101110 | Din(Decimal): 1653 | Average(Decimal): 1646
Time: 1955000 | Din(Binary): 0000011001110101 | Average(Binary): 0000011001101110 | Din(Decimal): 1653 | Average(Decimal): 1646
Time: 1965000 | Din(Binary): 0000011001100110 | Average(Binary): 0000011001101110 | Din(Decimal): 1638 | Average(Decimal): 1646
Time: 1975000 | Din(Binary): 0000011001100110 | Average(Binary): 0000011001110000 | Din(Decimal): 1638 | Average(Decimal): 1648
Time: 1985000 | Din(Binary): 0000011001100110 | Average(Binary): 0000011001110000 | Din(Decimal): 1638 | Average(Decimal): 1648
Time: 1995000 | Din(Binary): 0000011001101100 | Average(Binary): 0000011001110000 | Din(Decimal): 1644 | Average(Decimal): 1648
Time: 2005000 | Din(Binary): 0000011001101100 | Average(Binary): 0000011001110001 | Din(Decimal): 1644 | Average(Decimal): 1649
Time: 2015000 | Din(Binary): 0000011001101100 | Average(Binary): 0000011001110001 | Din(Decimal): 1644 | Average(Decimal): 1649
Time: 2025000 | Din(Binary): 0000011001101110 | Average(Binary): 0000011001110001 | Din(Decimal): 1646 | Average(Decimal): 1649
Time: 2035000 | Din(Binary): 0000011001101110 | Average(Binary): 0000011001110001 | Din(Decimal): 1646 | Average(Decimal): 1649
Time: 2045000 | Din(Binary): 0000011001101110 | Average(Binary): 0000011001110001 | Din(Decimal): 1646 | Average(Decimal): 1649
Time: 2055000 | Din(Binary): 0000011001110011 | Average(Binary): 0000011001110001 | Din(Decimal): 1651 | Average(Decimal): 1649
Time: 2065000 | Din(Binary): 0000011001110011 | Average(Binary): 0000011001110001 | Din(Decimal): 1651 | Average(Decimal): 1649
Time: 2075000 | Din(Binary): 0000011001110011 | Average(Binary): 0000011001110001 | Din(Decimal): 1651 | Average(Decimal): 1649
Time: 2085000 | Din(Binary): 0000011001110010 | Average(Binary): 0000011001110001 | Din(Decimal): 1650 | Average(Decimal): 1649
Time: 2095000 | Din(Binary): 0000011001110010 | Average(Binary): 0000011001110000 | Din(Decimal): 1650 | Average(Decimal): 1648
Time: 2105000 | Din(Binary): 0000011001110010 | Average(Binary): 0000011001110000 | Din(Decimal): 1650 | Average(Decimal): 1648
Time: 2115000 | Din(Binary): 0000011001110101 | Average(Binary): 0000011001110000 | Din(Decimal): 1653 | Average(Decimal): 1648
Time: 2125000 | Din(Binary): 0000011001110101 | Average(Binary): 0000011001110000 | Din(Decimal): 1653 | Average(Decimal): 1648
Time: 2135000 | Din(Binary): 0000011001110101 | Average(Binary): 0000011001110000 | Din(Decimal): 1653 | Average(Decimal): 1648
